epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,7210.15,0.31759,0.18681,0.78491,1,0.98142,0.995,0.95619,0.28345,0.15142,0.79947,0.000812,0.000812,0.000812
122,7262.55,0.31775,0.18798,0.78567,1,0.98418,0.995,0.95399,0.2802,0.15198,0.79899,0.0008021,0.0008021,0.0008021
123,7314.42,0.31343,0.18337,0.78232,1,0.99936,0.995,0.95432,0.27635,0.14582,0.79802,0.0007922,0.0007922,0.0007922
124,7366.07,0.3205,0.18856,0.78512,0.98913,1,0.995,0.95804,0.27657,0.14853,0.79805,0.0007823,0.0007823,0.0007823
125,7418.05,0.30937,0.18346,0.78241,0.9984,0.98352,0.99497,0.95719,0.27898,0.15301,0.79827,0.0007724,0.0007724,0.0007724
126,7470,0.31611,0.18344,0.78332,1,0.98303,0.995,0.95782,0.27491,0.14903,0.79817,0.0007625,0.0007625,0.0007625
127,7522.2,0.31746,0.18517,0.78599,1,0.98335,0.995,0.95711,0.27663,0.14583,0.79926,0.0007526,0.0007526,0.0007526
128,7574.14,0.31944,0.18595,0.78769,1,0.98597,0.995,0.95451,0.27781,0.14902,0.79876,0.0007427,0.0007427,0.0007427
129,7626.11,0.31202,0.18252,0.78597,0.99324,1,0.995,0.95569,0.27919,0.14589,0.80006,0.0007328,0.0007328,0.0007328
130,7678.32,0.31929,0.1857,0.78612,0.98645,1,0.995,0.95532,0.27948,0.14655,0.79916,0.0007229,0.0007229,0.0007229
131,7730.75,0.31546,0.18506,0.78016,0.99183,1,0.995,0.9566,0.27559,0.14512,0.79831,0.000713,0.000713,0.000713
132,7783.37,0.31364,0.18442,0.78492,1,0.9871,0.995,0.95709,0.27777,0.14588,0.79953,0.0007031,0.0007031,0.0007031
133,7835.97,0.31285,0.18189,0.78116,0.98645,1,0.995,0.956,0.27495,0.14474,0.79907,0.0006932,0.0006932,0.0006932
134,7888.46,0.31323,0.18154,0.78451,1,0.98916,0.995,0.95844,0.27179,0.1447,0.79832,0.0006833,0.0006833,0.0006833
135,7941.33,0.31114,0.17968,0.78093,0.99183,1,0.995,0.95873,0.27356,0.14288,0.79822,0.0006734,0.0006734,0.0006734
136,7994.3,0.31224,0.18038,0.77845,0.99911,1,0.995,0.95719,0.27528,0.14673,0.79899,0.0006635,0.0006635,0.0006635
137,8047.36,0.31083,0.18165,0.78503,0.98913,1,0.995,0.95901,0.27158,0.14446,0.79863,0.0006536,0.0006536,0.0006536
138,8100,0.31174,0.18003,0.77833,0.99504,1,0.995,0.95675,0.27532,0.14666,0.79845,0.0006437,0.0006437,0.0006437
139,8152.86,0.309,0.17971,0.78332,0.98645,1,0.995,0.9553,0.27893,0.14626,0.79873,0.0006338,0.0006338,0.0006338
140,8206.07,0.30805,0.17711,0.78262,1,0.99235,0.995,0.95557,0.27338,0.14555,0.79901,0.0006239,0.0006239,0.0006239
141,8259.4,0.31024,0.17968,0.7843,1,0.98807,0.995,0.95684,0.27307,0.14537,0.79877,0.000614,0.000614,0.000614
142,8312.86,0.30609,0.18044,0.78192,1,0.99027,0.995,0.95524,0.27454,0.14349,0.79843,0.0006041,0.0006041,0.0006041
143,8366.5,0.30324,0.17723,0.77925,1,0.99053,0.995,0.95872,0.27489,0.14591,0.79918,0.0005942,0.0005942,0.0005942
144,8420.32,0.30678,0.17763,0.78044,1,0.98972,0.995,0.95913,0.27716,0.14874,0.79939,0.0005843,0.0005843,0.0005843
145,8474.32,0.30596,0.1768,0.78181,0.98913,1,0.995,0.95907,0.27306,0.14352,0.79824,0.0005744,0.0005744,0.0005744
146,8528.1,0.3044,0.17606,0.78676,1,0.98514,0.995,0.95837,0.27028,0.14303,0.79785,0.0005645,0.0005645,0.0005645
147,8582.03,0.30308,0.17402,0.78007,1,0.98288,0.995,0.95832,0.26987,0.14413,0.79823,0.0005546,0.0005546,0.0005546
148,8636.07,0.3052,0.17482,0.78626,0.98113,1,0.995,0.9561,0.27023,0.14516,0.79807,0.0005447,0.0005447,0.0005447
149,8690.52,0.30276,0.17262,0.78311,0.99183,1,0.995,0.95626,0.27459,0.14473,0.79911,0.0005348,0.0005348,0.0005348
150,8744.87,0.30323,0.17321,0.78167,0.98645,1,0.995,0.95848,0.27269,0.14088,0.79861,0.0005249,0.0005249,0.0005249
151,8799.16,0.30079,0.17238,0.78018,0.9918,0.99725,0.995,0.9588,0.27259,0.13971,0.79864,0.000515,0.000515,0.000515
152,8853.61,0.30085,0.17117,0.77873,0.99454,1,0.995,0.95629,0.27045,0.14289,0.79849,0.0005051,0.0005051,0.0005051
153,8908.26,0.30242,0.17124,0.78053,1,0.99001,0.995,0.95852,0.268,0.14037,0.79788,0.0004952,0.0004952,0.0004952
154,8962.99,0.30605,0.17292,0.77951,0.99454,1,0.995,0.95709,0.27104,0.14199,0.79871,0.0004853,0.0004853,0.0004853
155,9017.57,0.30492,0.1725,0.78103,0.99183,1,0.995,0.95785,0.26868,0.14086,0.7983,0.0004754,0.0004754,0.0004754
156,9072.01,0.30147,0.1718,0.77962,0.98645,1,0.995,0.95941,0.27097,0.14083,0.79766,0.0004655,0.0004655,0.0004655
157,9126.73,0.29813,0.16963,0.78009,1,0.98923,0.995,0.96024,0.27128,0.14197,0.79851,0.0004556,0.0004556,0.0004556
158,9181.59,0.29903,0.17181,0.77749,1,0.99309,0.995,0.9595,0.27083,0.13758,0.79802,0.0004457,0.0004457,0.0004457
